"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Consumer site","0","Cart","1","0","Cart","0"
"0","Consumer site","0","Search","1","0","Search","0"
"0","Consumer site","0","Authentication","1","0","Authorization","0"
