"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"3","Consumer site","0","Search","0","0","Search","0"
"1","Consumer site","0","Cart","0","0","Cart","0"
"0","Consumer site","1","Authentication","0","0","Authorization","0"
